id,steamid,etf2l_name,overall_kills,overall_assists,overall_deaths,overall_dmg,overall_wins,matches_played,win_rate,dapm
240,[U:1:96664776],danny,7,6,13,3191,0,1,0.00,186.61
241,[U:1:84096198],biskuu,49,33,36,13536,1,3,33.33,232.58
242,[U:1:89124751],ReseF,1,8,13,2729,0,1,0.00,198.23
243,[U:1:114651287],scrlly,1062,553,986,369835,29,54,53.70,290.04
244,[U:1:96111893],Rebel,44,31,48,15196,1,3,33.33,254.75
245,[U:1:410157786],soaky,23,10,12,6773,1,1,100.00,282.99
246,[U:1:73989841],foungi,3,0,21,2319,0,1,0.00,133.79
247,[U:1:266317908],spawncamper.,18,12,11,5353,1,1,100.00,314.57
248,[U:1:88986847],sandblast,26,21,14,8423,1,1,100.00,433.80
249,[U:1:117971575],vic,24,17,19,7274,1,1,100.00,312.86
250,[U:1:180342878],nubbi,200,55,82,56728,3,5,60.00,473.19
251,[U:1:117426236],Teddi,391,244,411,133375,13,26,50.00,241.60
252,[U:1:76381807],Skyfox,91,62,97,30837,2,6,33.33,236.54
253,[U:1:198951342],Kanga,193,88,149,59936,7,10,70.00,327.58
254,[U:1:2221629],Adena,12,12,16,4051,0,1,0.00,202.04
255,[U:1:136521616],mooncaller.,35,15,31,9490,1,2,50.00,229.32
256,[U:1:124181997],Fluffy,7,8,12,2786,0,1,0.00,192.14
257,[U:1:331969777],Avastbro,10,3,29,4129,1,1,100.00,189.11
258,[U:1:224615527],skai,15,6,26,5719,0,1,0.00,243.36
259,[U:1:42724440],senko,93,31,49,27433,2,3,66.67,370.22
260,[U:1:127111882],NURWHAL,174,77,109,51515,5,7,71.43,352.88
261,[U:1:40714804],qBowN∼,2684,958,1944,739152,42,102,41.18,322.15
262,[U:1:458357023],minty,96,52,76,32473,3,5,60.00,325.54
263,[U:1:168080905],C.J.,81,34,47,22268,4,4,100.00,274.35
264,[U:1:365139362],vlad9,19,11,23,6805,1,2,50.00,205.59
265,[U:1:169048576],Kumis,49,20,45,15853,2,3,66.67,292.76
266,[U:1:46126078],Spoon1337,5,5,8,2188,0,1,0.00,144.58
267,[U:1:63949823],eLs,146,60,160,49430,2,7,28.57,262.16
268,[U:1:147767869],moikill231,40,36,52,17383,2,3,66.67,282.50
