id,steamid,etf2l_name,overall_kills,overall_assists,overall_deaths,overall_dmg,overall_wins,matches_played,win_rate,dapm
213,[U:1:77961906],Pooper,46,2,55,16222,2,2,100.00,326.62
214,[U:1:53596352],gear_rus,9,2,42,4455,1,2,50.00,99.40
215,[U:1:1116674495],shy,10,0,27,4259,1,2,50.00,89.95
216,[U:1:101654928],simple,400,51,628,163874,14,29,48.28,257.83
217,[U:1:113688546],Winter Personified,20,3,19,8315,0,1,0.00,326.72
218,[U:1:92778910],Obi-Wan Pierogi,13,0,31,5648,0,1,0.00,185.08
219,[U:1:1057941942],Ra1n,15,5,33,6684,0,2,0.00,154.66
220,[U:1:406623115],Gergosz.,26,1,41,8530,1,2,50.00,209.24
221,[U:1:281493306],Mikeal Garden,28,3,42,10777,1,2,50.00,241.01
222,[U:1:328592166],Doge,47,3,62,16674,1,3,33.33,263.00
223,[U:1:153054969],vikman,660,79,586,225753,21,34,61.76,298.31
224,[U:1:98361494],Hampe,170,26,209,62245,3,10,30.00,304.85
225,[U:1:103246966],Kaponei,107,26,178,42712,1,8,12.50,264.53
226,[U:1:137636024],Nixon,15,5,27,5243,1,1,100.00,230.29
