id,steamid,etf2l_name,overall_kills,overall_assists,overall_deaths,overall_dmg,overall_wins,matches_played,win_rate,dapm
213,[U:1:83687775],Anzu,173,104,135,60370,4,9,44.44,306.63
214,[U:1:348173529],Foof,25,17,32,11423,0,3,0.00,248.51
215,[U:1:294057267],gdj,149,91,76,51018,5,8,62.50,326.17
216,[U:1:159058380],hondjo,107,41,76,35775,1,5,20.00,357.33
217,[U:1:91615533],Not Steven,128,89,142,53279,3,8,37.50,328.11
218,[U:1:1100515718],CacTus,119,101,244,58345,3,12,25.00,221.07
219,[U:1:178649582],Sitheach,16,24,20,8287,0,1,0.00,296.14
220,[U:1:78206317],matzi,52,28,33,19334,2,3,66.67,354.54
221,[U:1:308379418],patikuss,23,18,22,9230,2,2,100.00,232.20
222,[U:1:278726716],MattFor,5,7,12,2892,0,1,0.00,230.13
223,[U:1:100740038],Mondi,50,25,56,22331,3,4,75.00,288.20
224,[U:1:121620824],Zamzam,10,7,11,3606,0,1,0.00,205.86
225,[U:1:322269797],deere,39,38,41,17253,1,3,33.33,293.00
226,[U:1:96664776],danny,45,26,35,14823,1,2,50.00,301.69
227,[U:1:315920596],pwoject dwelta,14,12,18,5460,0,1,0.00,238.95
228,[U:1:89124751],ReseF,1720,1005,1300,625566,46,92,50.00,308.63
229,[U:1:174480808],kris,24,13,40,12796,1,2,50.00,221.13
230,[U:1:356089781],chachiply,55,40,74,18971,2,4,50.00,191.40
231,[U:1:114651287],scrlly,169,125,162,69581,5,9,55.56,298.84
232,[U:1:155328866],Big Papa MattJ,6,7,20,5610,0,1,0.00,233.26
233,[U:1:96111893],Rebel,30,24,25,13338,2,2,100.00,340.26
234,[U:1:49161631],dqz,26,15,15,9184,0,1,0.00,327.22
235,[U:1:410157786],soaky,42,34,39,18158,2,3,66.67,258.85
236,[U:1:266317908],spawncamper.,17,13,9,5533,1,1,100.00,308.53
237,[U:1:363146125],Frager,25,11,17,6609,0,1,0.00,224.03
238,[U:1:1011123662],allegro,9,11,18,4678,0,1,0.00,212.31
239,[U:1:86015117],lawjr,78,36,63,27181,2,4,50.00,306.50
240,[U:1:119994838],G-Dude,50,40,31,17446,2,3,66.67,274.31
241,[U:1:117971575],vic,128,71,89,44846,2,6,33.33,298.21
242,[U:1:120646359],Kordian,16,18,19,6374,1,1,100.00,281.83
243,[U:1:117426236],Teddi,99,49,79,33869,2,5,40.00,308.60
244,[U:1:76381807],Skyfox,460,291,394,159235,10,28,35.71,245.58
245,[U:1:2221629],Adena,13,4,13,4307,0,1,0.00,227.08
246,[U:1:124181997],Fluffy,63,38,42,22330,3,3,100.00,360.94
247,[U:1:127111882],NURWHAL,93,51,105,36345,2,5,40.00,295.77
248,[U:1:208887937],shinso,92,53,88,35252,2,5,40.00,271.80
249,[U:1:40714804],qBowN∼,66,37,67,23228,0,3,0.00,294.83
250,[U:1:458357023],minty,34,15,30,14279,1,2,50.00,354.90
251,[U:1:83673269],Kelesch,16,19,16,7550,1,1,100.00,290.38
252,[U:1:180569264],Vibing,8,7,15,3562,0,1,0.00,203.74
253,[U:1:107838459],Joey Lemons,60,29,55,19112,2,2,100.00,306.77
254,[U:1:89081402],juju,29,24,29,10272,1,1,100.00,320.83
255,[U:1:169048576],Kumis,55,27,48,22316,1,4,25.00,317.89
256,[U:1:63949823],eLs,467,283,465,189902,13,30,43.33,300.32
257,[U:1:1085742667],SqnkaBG,11,10,20,3971,0,1,0.00,169.94
258,[U:1:147767869],moikill231,556,384,447,215248,14,29,48.28,339.45
259,[U:1:239418903],mi05tko,173,128,174,68417,4,11,36.36,272.41
260,[U:1:467371097],AloneInHell,15,24,11,8340,1,1,100.00,356.16
261,[U:1:99516734],pepper,26,33,45,14267,1,3,33.33,230.11
262,[U:1:236710169],Rach,38,23,45,11974,1,2,50.00,246.29
263,[U:1:908576621],celestial,46,23,20,16586,2,2,100.00,376.24
264,[U:1:106318490],Citrus,17,12,14,4587,1,1,100.00,201.92
265,[U:1:103849558],cow_2,13,9,8,3414,1,1,100.00,192.70
266,[U:1:188828482],M_J_C,19,8,21,8346,0,2,0.00,250.51
267,[U:1:77961906],Pooper,44,21,48,16305,2,2,100.00,330.28
268,[U:1:1116674495],shy,4,8,22,3260,0,1,0.00,134.80
269,[U:1:92778910],Obi-Wan Pierogi,10,5,18,3810,1,1,100.00,199.30
270,[U:1:8921144],whalex,55,40,41,19734,1,3,33.33,289.71
271,[U:1:129755717],balda,51,15,31,19167,2,2,100.00,393.57
272,[U:1:138227616],Sykens,34,19,35,12119,1,3,33.33,212.80
273,[U:1:71866814],Ritz,234,210,236,96878,7,16,43.75,245.44
274,[U:1:58736264],Heatburn,96,52,54,29974,3,4,75.00,320.41
275,[U:1:112036545],JENNY,69,34,40,24467,2,3,66.67,388.16
276,[U:1:100229218],hu tao,26,13,12,6007,0,1,0.00,265.01
277,[U:1:70120143],bitebo,23,33,51,13316,1,2,50.00,239.57
278,[U:1:350242480],TK_,24,24,18,11831,1,1,100.00,413.91
279,[U:1:382304800],Jared,17,18,29,10355,0,2,0.00,253.59
280,[U:1:328592166],Doge,37,18,41,16164,1,2,50.00,344.89
281,[U:1:438105352],Gorlyscho,0,1,2,506,1,1,100.00,55.20
282,[U:1:99670243],CazaroC,15,4,8,3006,1,1,100.00,230.34
283,[U:1:282434474],seri,27,18,20,7587,1,1,100.00,279.28
284,[U:1:204510198],kejhalb,11,6,9,4377,1,1,100.00,276.73
285,[U:1:100750567],Metroid,18,13,14,6609,0,1,0.00,228.03
286,[U:1:1090182064],Doctrine,1,3,9,1490,1,1,100.00,84.26
287,[U:1:129456188],Markus14,5,2,11,3953,0,1,0.00,222.08
288,[U:1:103246966],Kaponei,104,56,104,40621,3,7,42.86,245.57
289,[U:1:294853651],Silver,13,3,13,5516,0,1,0.00,297.89
290,[U:1:161134282],Generic,23,12,30,6876,1,1,100.00,233.88
291,[U:1:117684587],Kidou,12,11,11,5935,0,1,0.00,278.64
